_time,TargetUserName,IpAddress,IpPort,status,signature,,,,,
2025-04-28T10:37:39.000+0700,KhoiHA,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T11:25:09.000+0700,LongNT44,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T12:13:02.000+0700,thiennd43,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T15:11:44.000+0700,GiangVT12,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T16:04:12.000+0700,TrungLVH,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T08:16:33.000+0700,PhuongNH4,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T08:43:14.000+0700,ThienDM,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T08:59:05.000+0700,GiangVT12,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T09:12:14.000+0700,ChienNM,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T09:23:46.000+0700,Tiendt,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T09:34:20.000+0700,OanhLTH6,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T09:47:19.000+0700,DiemLN,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T09:57:44.000+0700,KhoaND4,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T10:17:12.000+0700,CuongLP3,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T10:19:15.000+0700,trinhhp3,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T10:33:31.000+0700,trucnh,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T13:45:24.000+0700,LongNT44,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-29T14:52:53.000+0700,duyhq,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-05-05T08:18:40.000+0700,ChienNM,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T08:27:25.000+0700,PhuongNH4,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T08:40:40.000+0700,ThienDM,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T08:55:28.000+0700,LongVT27,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T08:55:41.000+0700,Tiendt,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T08:58:03.000+0700,ThaoNT64,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T09:11:39.000+0700,KhoaND4,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T09:13:22.000+0700,loclpp,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T09:22:35.000+0700,ToanCNV2,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T09:28:35.000+0700,KhoiHA,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T09:44:23.000+0700,PhuongLM3,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T09:51:37.000+0700,OanhLTH6,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T10:24:43.000+0700,HieuPT35,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T11:16:01.000+0700,lanphm,10.86.216.243,28810,success,An account was successfully logged on,,,,,
2025-05-05T11:19:11.000+0700,ThaoHM5,10.86.216.243,28810,success,An account was successfully logged on,,,,,
